;This file contains data about the units and their counters
;
;HOW TO USE: Put it in the starcraft folder in /odin_data/
;
;Name,CountersFew,CountersMany
;Protoss
Zealot,Dragoon,High Templar
Dragoon,Dragoon,High Templar
Dark Templar,Canon,Observers
High Templar,Reaver,Dark Archon
Archon,Reaver,Carrier
Dark Archon,Dragoon,Reaver
Reaver,Dragoon,Dark Templar
Scout,Dragoon,Corsair
Corsair,Dragoon,Dark Archon
Arbiter,Observer,High Templar
Carrier,Scout,Dark Archon
Observer,Canon,Observer
Shuttle,Canon,Dragoon
;Terran
Marine,Dragoon,High Templar
Firebat,Dragoon,High Templar
Medic,Reaver,Dark Archon
Ghost,Canon,Observer
Vulture,Dragoon,Scout
Spider Mine,Zealot,Observer
Siege Tank,Zealot,Dark Templar
Goliath,Zealot,Reaver
Wraith,Dragoon,Observer
Dropship,Canon,Corsair
Science Vessel,Dragoon,Dark Archon
Battlecruiser,Scout,Arbiter
Valkyrie,Dragoon,Scout
;Zerg
Zergling,Zealot,High Templar
Hydralisk,Zealots,High Templar
Lurker,High Templar,Archon
Ultralisk,Archon,Carrier
Defiler,Canon,Reaver
Overlord,None,Dragoon
Mutalisk,Corsair,Arbiter
Scourge,Dragoon,Archon
Queen,Reaver,Archon
Guardian,Corsair,Archon
Devourer,Dragoon,Archon
Broodlings,Reaver,Archon
