Timeperiod,SupplyDepot,Barracks,Refinery,EngineeringBay,Bunker,Academy,MissileTurret,Factory,Starport,Armory,ScienceFacility,ComsatStation,NuclearSilo,MachineShop,ControlTower,PhysicsLab,CovertOps,Marine,Firebat,Medic,Ghost,Vulture,SpiderMine,SiegeTank,Goliath,Wraith,Dropship,ScienceVessel,Battlecruiser,Valkyrie
period1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
period2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
period3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
period4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
period5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
period6,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
period7,3,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
period8,3,1,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
period9,3,1,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0
period10,4,1,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0
period11,4,1,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,2,0,0,0,3,0,0,0,1,1,0,0,0
period12,4,1,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,2,0,0,0,3,0,0,0,1,1,0,0,0
period13,4,1,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0,1,1,0,0,0
