Timeperiod,CreepColony,SunkenColony,SporeColony,Extractor,SpawningPool,EvolutionChamber,HydraliskDen,Lair,Spire,QueensNest,Hive,GreaterSpire,NydusCanal,UltraliskCavern,DefilerMound,Zergling,Hydralisk,Lurker,Ultralisk,Defiler,Overlord,Mutalisk,Scourge,Queen,Guardian,Devourer
period1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
period4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
period5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
period6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
period7,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
period8,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
period9,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
period10,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0
period11,0,2,0,2,1,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,3,0,2,0,0,0
period12,0,2,2,3,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0
period13,0,2,2,3,1,1,1,1,1,0,0,0,0,0,0,3,0,1,0,0,4,0,2,0,0,0
period14,1,2,2,3,1,1,1,1,1,0,0,0,0,0,0,3,0,1,0,0,4,4,2,0,0,0
period15,1,3,2,3,1,2,1,1,1,0,0,0,0,0,0,4,3,1,0,0,4,4,1,0,0,0
period16,1,3,2,3,1,2,1,0,1,0,0,0,0,0,0,4,1,2,0,0,4,4,1,0,0,0
period17,0,3,3,3,1,2,1,0,1,0,1,0,0,0,0,4,1,4,0,0,4,4,1,0,0,0
period18,0,4,3,3,1,2,1,0,1,0,1,0,1,0,0,4,0,4,0,0,4,4,1,0,0,0
period19,0,4,3,3,1,2,1,0,1,0,1,0,2,0,1,4,0,4,0,0,4,4,3,0,0,0
period20,0,4,3,3,1,2,1,0,1,0,1,0,2,0,1,4,0,4,0,2,4,3,3,0,0,0
period21,2,4,3,3,1,2,1,0,1,0,1,0,2,0,1,4,2,4,0,2,4,3,3,0,0,0
period22,0,4,3,3,1,2,1,0,0,0,1,0,2,0,1,4,0,4,0,2,4,3,3,0,0,0
period23,0,4,3,3,1,2,1,0,0,0,1,1,2,1,1,4,0,4,0,2,4,3,3,0,0,0
period24,0,4,3,3,1,2,1,0,0,0,1,1,2,1,1,4,0,4,0,2,4,0,1,0,0,0
period25,0,4,3,3,1,2,1,0,0,0,1,1,2,1,1,4,0,4,0,1,4,0,1,0,2,0
period26,0,4,4,3,1,2,1,0,0,0,1,1,2,1,1,4,0,4,3,1,4,0,1,0,1,0
period27,0,4,4,3,1,2,1,0,0,0,1,1,2,1,1,4,0,4,4,2,4,0,1,0,0,0
period28,0,4,4,3,1,2,1,0,0,0,1,1,2,1,1,4,0,4,4,1,4,0,1,0,0,0
period29,0,4,4,3,1,2,1,0,0,0,1,1,2,1,1,4,2,4,4,1,4,0,1,0,0,0
period30,0,4,4,3,1,2,1,0,0,0,1,1,2,1,1,4,2,4,4,1,4,0,0,0,0,0
period31,0,4,4,3,1,2,1,0,0,0,1,1,2,1,1,4,1,4,4,1,4,0,2,0,0,0
